,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1131,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,29-124,1993,14.8,12,52,24,46.2,3.51,1.62,0.19,0.42,15.9,0,2,3,9.4,7.1,0.14,+2.6,+2.9,Matches,21a66f6a
1132,Wilfried Kanga,ci CIV,FW,Hertha BSC,de Bundesliga,24-281,1998,10.4,2,21,9,42.9,2.03,0.87,0.10,0.22,12.1,0,0,0,2.8,2.8,0.13,-0.8,-0.8,Matches,b4c816a9
1133,Lee Kangin,kr KOR,MFFW,Mallorca,es La Liga,21-283,2001,12.1,2,20,7,35.0,1.65,0.58,0.10,0.29,20.3,3,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches,8455ad90
1134,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,31-245,1991,1.9,0,2,1,50.0,1.03,0.52,0.00,0.00,21.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,b9fbae28
1135,Kenan Karaman,tr TUR,FW,Schalke 04,de Bundesliga,28-269,1994,4.0,0,12,3,25.0,2.99,0.75,0.00,0.00,12.7,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches,8f0f2230
1136,Yann Karamoh,fr FRA,FWMF,Torino,it Serie A,24-144,1998,1.4,0,4,1,25.0,2.79,0.70,0.00,0.00,20.6,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,8b66d9cc
1137,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,26-047,1996,5.4,0,2,0,0.0,0.37,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,5762be5c
1138,Jon Karrikaburu,es ESP,FW,Real Sociedad,es La Liga,20-071,2002,1.0,0,5,1,20.0,4.84,0.97,0.00,0.00,20.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,211589b8
1139,Rick Karsdorp,nl NED,DF,Roma,it Serie A,27-291,1995,6.1,0,1,0,0.0,0.16,0.00,0.00,,11.0,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches,9f84febe
1140,Denso Kasius,nl NED,DF,Bologna,it Serie A,20-054,2002,3.7,0,4,0,0.0,1.07,0.00,0.00,,23.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,7ae36711
1141,Thomas Kastanaras,gr GRE,DF,Stuttgart,de Bundesliga,19-324,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,778ccc44
1142,Grigoris Kastanos,cy CYP,MFDF,Salernitana,it Serie A,24-303,1998,2.9,0,8,3,37.5,2.76,1.03,0.00,0.00,24.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,2a82aa85
1143,Silas Katompa,cd COD,FWDF,Stuttgart,de Bundesliga,24-054,1998,11.6,3,21,7,33.3,1.81,0.60,0.10,0.29,16.5,0,1,1,3.9,3.1,0.15,-0.9,-1.1,Matches,de4cac2d
1144,Moise Kean,it ITA,FW,Juventus,it Serie A,22-274,2000,5.4,4,19,7,36.8,3.50,1.29,0.21,0.57,14.5,0,0,0,3.4,3.4,0.18,+0.6,+0.6,Matches,3d50bcdb
1145,Michael Keane,eng ENG,DF,Everton,eng Premier League,29-322,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c5b7c315
1146,Neeskens Kebano,cd COD,FW,Fulham,eng Premier League,30-264,1992,7.9,0,9,2,22.2,1.14,0.25,0.00,0.00,15.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,18b999f4
1147,Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,18-307,2004,3.4,0,1,0,0.0,0.30,0.00,0.00,,18.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,c43a8336
1148,Thilo Kehrer,de GER,DF,West Ham,eng Premier League,26-069,1996,13.0,0,5,1,20.0,0.38,0.08,0.00,0.00,18.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,51dbeea9
1149,Check Keita,fr FRA,DF,Reims,fr Ligue 1,19-241,2003,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c9f2f83a
1150,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,22-287,2000,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d2c580ce
1151,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,24-054,1998,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f31def1e
1152,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,27-305,1995,14.4,0,5,2,40.0,0.35,0.14,0.00,0.00,8.4,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,815c314f
1153,Kenedy,br BRA,MF,Valladolid,es La Liga,26-294,1996,0.2,0,1,0,0.0,6.00,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,5eebbfdf
1154,Jonjoe Kenny,eng ENG,DF,Hertha BSC,de Bundesliga,25-259,1997,15.0,0,6,1,16.7,0.40,0.07,0.00,0.00,24.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,099e666f
1155,Franck Kessié,ci CIV,MF,Barcelona,es La Liga,25-345,1996,2.4,0,6,0,0.0,2.50,0.00,0.00,,13.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches,05e19d6a
1156,Saîf-Eddine Khaoui,tn TUN,MFFW,Clermont Foot,fr Ligue 1,27-216,1995,8.2,2,16,8,50.0,1.95,0.97,0.13,0.25,22.0,2,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches,796b1c41
1157,Wahbi Khazri,tn TUN,FWMF,Montpellier,fr Ligue 1,31-294,1991,7.9,2,18,10,55.6,2.29,1.27,0.11,0.20,21.7,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches,2677a1de
1158,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,28-306,1994,13.5,0,12,0,0.0,0.89,0.00,0.00,,24.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,59e4b92e
1159,Kike,es ESP,FW,Osasuna,es La Liga,33-004,1989,4.8,2,18,6,33.3,3.79,1.26,0.06,0.17,16.6,0,1,1,2.4,1.6,0.09,-0.4,-0.6,Matches,e897d8ba
1160,Luca Kilian,de GER,DF,Köln,de Bundesliga,23-089,1999,12.2,1,4,1,25.0,0.33,0.08,0.25,1.00,9.8,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,610aa1e9
1161,Max Kilman,eng ENG,DF,Wolves,eng Premier League,25-190,1997,15.0,0,5,0,0.0,0.33,0.00,0.00,,8.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches,d0f72bf1
1162,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,27-294,1995,14.2,2,18,7,38.9,1.27,0.49,0.11,0.29,24.7,3,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches,49296448
1163,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,27-108,1995,6.8,0,3,0,0.0,0.44,0.00,0.00,,6.8,0,0,0,0.6,0.6,0.18,-0.6,-0.6,Matches,aef6e670
1164,Jakub Kiwior,pl POL,DF,Spezia,it Serie A,22-287,2000,14.3,0,10,2,20.0,0.70,0.14,0.00,0.00,16.6,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,dc3e663e
1165,Simon Kjær,dk DEN,DF,Milan,it Serie A,33-248,1989,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8b8a56ce
1166,Mateusz Klich,pl POL,MFFW,Leeds United,eng Premier League,32-169,1990,2.2,0,3,1,33.3,1.36,0.45,0.00,0.00,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,282679b4
1167,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,26-179,1996,1.0,0,4,1,25.0,4.00,1.00,0.00,0.00,12.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,ca8033cb
1168,Justin Kluivert,nl NED,FWMF,Valencia,es La Liga,23-208,1999,5.8,2,12,5,41.7,2.08,0.87,0.17,0.40,16.3,0,0,0,2.0,2.0,0.17,0.0,0.0,Matches,4c3a6744
1169,Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,20-323,2002,7.1,1,11,5,45.5,1.55,0.71,0.09,0.20,20.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,19a967ab
1170,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,30-191,1992,14.0,1,3,1,33.3,0.21,0.07,0.33,1.00,19.8,0,0,1,0.9,0.1,0.04,+0.1,+0.9,Matches,6bd5cd5d
1171,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,24-358,1997,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cd59b9df
1172,Robin Koch,de GER,DF,Leeds United,eng Premier League,26-135,1996,13.5,0,5,1,20.0,0.37,0.07,0.00,0.00,13.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,ea6bc03a
1173,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,28-302,1994,13.1,2,17,3,17.6,1.30,0.23,0.12,0.67,20.6,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Matches,0fbecd11
1174,Koke,es ESP,MF,Atlético Madrid,es La Liga,30-325,1992,8.2,0,3,0,0.0,0.36,0.00,0.00,,17.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,55126f3b
1175,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,29-162,1993,5.5,1,2,1,50.0,0.37,0.18,0.50,1.00,8.4,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches,3935e52e
1176,Luca Koleosho,ca CAN,FWDF,Espanyol,es La Liga,18-075,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fc076f78
1177,Randal Kolo Muani,fr FRA,FWMF,Eint Frankfurt,de Bundesliga,23-359,1998,12.4,5,28,13,46.4,2.26,1.05,0.18,0.38,12.7,0,0,0,4.6,4.6,0.16,+0.4,+0.4,Matches,c0b3669f
1178,Timothée Kolodziejczak,fr FRA,DF,Schalke 04,de Bundesliga,31-059,1991,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab096c6f
1179,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,23-188,1999,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5ed9b537
1180,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,29-287,1993,8.0,0,8,0,0.0,1.00,0.00,0.00,,18.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,cce181df
1181,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,23-166,1999,3.4,2,2,1,50.0,0.59,0.30,0.50,1.00,19.4,0,1,1,1.2,0.4,0.20,+0.8,+0.6,Matches,04bb2b06
1182,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,21-196,2001,13.6,1,10,5,50.0,0.74,0.37,0.10,0.20,25.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,86574238
1183,Youssouf Koné,ml MLI,DF,Ajaccio,fr Ligue 1,27-147,1995,5.1,0,1,1,100.0,0.19,0.19,0.00,0.00,27.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,e6eadfb8
1184,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,25-037,1997,14.0,0,3,0,0.0,0.21,0.00,0.00,,9.5,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches,0313a347
1185,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,24-274,1998,14.4,4,24,9,37.5,1.67,0.63,0.08,0.22,22.6,3,2,3,4.1,1.8,0.07,-0.1,+0.2,Matches,a26fb8aa
1186,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,21-329,2001,5.8,0,1,0,0.0,0.17,0.00,0.00,,21.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,1f3afdcb
1187,Filip Kostić,rs SRB,DFFW,Juventus,it Serie A,30-028,1992,11.8,1,14,5,35.7,1.18,0.42,0.07,0.20,19.3,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,b1cd37e6
1188,Filip Kostić,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,30-028,1992,0.8,0,1,0,0.0,1.22,0.00,0.00,,21.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,b1cd37e6
1189,Christian Kouamé,ci CIV,FW,Fiorentina,it Serie A,24-358,1997,11.2,2,22,7,31.8,1.97,0.63,0.09,0.29,14.1,0,0,0,2.7,2.7,0.13,-0.7,-0.7,Matches,58e933d2
1190,Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,25-347,1996,13.7,0,14,2,14.3,1.02,0.15,0.00,0.00,22.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,86a2ba20
1191,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,30-095,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dc366c36
1192,Kalidou Koulibaly,sn SEN,DF,Chelsea,eng Premier League,31-162,1991,8.2,1,7,3,42.9,0.85,0.36,0.14,0.33,13.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,da974c7b
1193,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,24-017,1998,6.4,0,5,0,0.0,0.79,0.00,0.00,,12.0,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,4d1666ff
1194,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,eng Premier League,32-343,1989,7.8,1,5,5,100.0,0.64,0.64,0.20,0.20,17.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches,8d3c902d
1195,Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,28-207,1994,7.1,0,8,0,0.0,1.13,0.00,0.00,,25.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,79c0821a
1196,Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,26-288,1996,3.6,0,4,0,0.0,1.11,0.00,0.00,,19.5,1,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,9d60028d
1197,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,28-119,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,77cf6852
1198,Alex Král,cz CZE,MF,Schalke 04,de Bundesliga,24-194,1998,10.0,0,8,1,12.5,0.80,0.10,0.00,0.00,24.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,e717705a
1199,Andrej Kramarić,hr CRO,MFFW,Hoffenheim,de Bundesliga,31-163,1991,11.4,3,22,8,36.4,1.93,0.70,0.14,0.38,16.8,2,0,2,5.2,3.7,0.17,-2.2,-0.7,Matches,603cb947
1200,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,31-283,1991,13.1,0,4,0,0.0,0.30,0.00,0.00,,21.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,496aeede
1201,Tom Krauß,de GER,MF,Schalke 04,de Bundesliga,21-160,2001,13.7,1,13,6,46.2,0.95,0.44,0.08,0.17,21.3,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,9f77012e
1202,Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,25-203,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b804c280
1203,Toni Kroos,de GER,MF,Real Madrid,es La Liga,32-329,1990,9.5,1,12,4,33.3,1.26,0.42,0.08,0.25,25.2,1,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,6ce1f46f
1204,Rade Krunić,ba BIH,MFFW,Milan,it Serie A,29-053,1993,5.2,0,6,1,16.7,1.15,0.19,0.00,0.00,12.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,817c6964
1205,Max Kruse,de GER,MFFW,Wolfsburg,de Bundesliga,34-255,1988,3.0,0,9,2,22.2,2.98,0.66,0.00,0.00,13.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,f9446dcd
1206,Lukas Kübler,de GER,DFMF,Freiburg,de Bundesliga,30-091,1992,4.7,2,5,3,60.0,1.07,0.64,0.40,0.67,11.3,0,0,0,0.5,0.5,0.11,+1.5,+1.5,Matches,2a29eb9b
1207,Takefusa Kubo,jp JPN,FWMF,Real Sociedad,es La Liga,21-178,2001,9.4,2,21,10,47.6,2.24,1.07,0.10,0.20,19.4,1,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches,16aa3654
1208,Dejan Kulusevski,se SWE,MFFW,Tottenham,eng Premier League,22-218,2000,6.8,1,13,3,23.1,1.91,0.44,0.08,0.33,16.4,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,df3cda47
1209,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,17-248,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c385bf49
1210,Marash Kumbulla,al ALB,DF,Roma,it Serie A,22-294,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a40819d9
1211,Layvin Kurzawa,fr FRA,DF,Fulham,eng Premier League,30-086,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41e7ef1c
1212,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,21-290,2001,9.7,6,34,13,38.2,3.52,1.35,0.18,0.46,17.7,0,0,0,3.3,3.3,0.10,+2.7,+2.7,Matches,dea88efd
1213,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,27-109,1995,6.6,2,13,6,46.2,1.96,0.91,0.15,0.33,15.9,0,0,1,2.1,1.3,0.11,-0.1,+0.7,Matches,397ba086
1214,Daniel Kyereh,gh GHA,MFFW,Freiburg,de Bundesliga,26-266,1996,4.8,2,9,5,55.6,1.89,1.05,0.22,0.40,15.3,0,0,0,2.0,2.0,0.23,0.0,0.0,Matches,2770726a
1215,Giorgos Kyriakopoulos,gr GRE,FWDF,Sassuolo,it Serie A,26-297,1996,8.0,1,12,4,33.3,1.50,0.50,0.08,0.25,14.6,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches,0a483542
1216,César de la Hoz,es ESP,MF,Almería,es La Liga,30-244,1992,6.5,1,3,1,33.3,0.46,0.15,0.33,1.00,27.3,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,60abea75
1217,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,24-190,1998,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e9241b40
1218,Gaëtan Laborde,fr FRA,FWMF,Nice,fr Ligue 1,28-210,1994,8.2,3,18,9,50.0,2.21,1.10,0.17,0.33,15.9,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches,7cdda3bf
1219,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,28-210,1994,2.8,2,11,6,54.5,3.98,2.17,0.18,0.33,13.2,0,0,0,1.7,1.7,0.16,+0.3,+0.3,Matches,7cdda3bf
1220,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,31-185,1991,14.4,9,45,21,46.7,3.12,1.46,0.16,0.33,15.0,4,2,2,8.4,6.8,0.15,+0.6,+0.2,Matches,9dbb75ca
1221,Qazim Laçi,al ALB,MF,Ajaccio,fr Ligue 1,26-314,1996,2.3,0,4,0,0.0,1.71,0.00,0.00,,30.4,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,eb0db257
1222,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,22-237,2000,8.9,1,2,1,50.0,0.22,0.11,0.50,1.00,7.2,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches,277c49ed
1223,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,23-310,1999,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4e7db402
1224,Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,25-186,1997,3.7,0,2,1,50.0,0.54,0.27,0.00,0.00,28.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,c1b7847c
1225,Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,30-094,1992,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4aea5077
1226,Adam Lallana,eng ENG,MFFW,Brighton,eng Premier League,34-203,1988,5.4,1,6,4,66.7,1.10,0.74,0.17,0.25,11.7,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches,99813635
1227,Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,32-243,1990,5.3,0,4,0,0.0,0.75,0.00,0.00,,14.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,591477c9
1228,Érik Lamela,ar ARG,FWMF,Sevilla,es La Liga,30-270,1992,10.6,3,23,9,39.1,2.17,0.85,0.13,0.33,14.0,1,0,0,2.6,2.6,0.11,+0.4,+0.4,Matches,abe66106
1229,Mohamed Lamine Bayo,gn GUI,FWMF,Lille,fr Ligue 1,24-178,1998,2.4,0,6,1,16.7,2.51,0.42,0.00,0.00,7.7,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches,01870104
1230,Sam Lammers,nl NED,FW,Empoli,it Serie A,25-213,1997,9.8,1,28,7,25.0,2.85,0.71,0.04,0.14,15.5,0,0,0,2.3,2.3,0.08,-1.3,-1.3,Matches,c283ddef
1231,Tariq Lamptey,gh GHA,DF,Brighton,eng Premier League,22-060,2000,2.1,0,1,0,0.0,0.48,0.00,0.00,,23.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,f4e433d4
1232,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,29-287,1993,1.4,0,2,0,0.0,1.43,0.00,0.00,,31.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,26f6dca8
1233,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,28-186,1994,3.2,0,7,0,0.0,2.20,0.00,0.00,,16.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,119b9a8e
1234,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29-025,1993,15.0,0,6,2,33.3,0.40,0.13,0.00,0.00,14.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,f066022d
1235,Juan Larios,es ESP,DF,Southampton,eng Premier League,18-321,2004,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cf7fb13a
1236,Yasser Larouci,dz ALG,DFMF,Troyes,fr Ligue 1,21-332,2001,8.3,0,3,2,66.7,0.36,0.24,0.00,0.00,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,0ed063d6
1237,Jordan Larsson,se SWE,FWMF,Schalke 04,de Bundesliga,25-162,1997,3.8,0,9,0,0.0,2.40,0.00,0.00,,15.9,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches,72984eee
1238,Kevin Lasagna,it ITA,FWMF,Hellas Verona,it Serie A,30-111,1992,9.4,1,32,7,21.9,3.42,0.75,0.03,0.14,18.4,0,0,0,4.3,4.3,0.13,-3.3,-3.3,Matches,09538fdb
1239,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29-018,1993,1.2,0,1,0,0.0,0.84,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,450ab6fc
1240,Latasa,es ESP,FWDF,Getafe,es La Liga,21-251,2001,0.7,0,5,2,40.0,7.38,2.95,0.00,0.00,13.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,2bea832e
1241,Toni Lato,es ESP,DFMF,Valencia,es La Liga,25-008,1997,3.1,1,5,1,20.0,1.63,0.33,0.20,1.00,19.4,1,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches,8e088e04
1242,Danny Latza,de GER,MFFW,Schalke 04,de Bundesliga,32-357,1989,2.0,0,2,0,0.0,0.98,0.00,0.00,,15.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,33b554b7
1243,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,23-360,1998,8.3,2,19,11,57.9,2.29,1.32,0.11,0.18,21.7,5,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches,2d22cea7
1244,Armand Lauriente,fr FRA,FW,Lorient,fr Ligue 1,23-360,1998,3.0,1,14,5,35.7,4.74,1.69,0.07,0.20,18.2,2,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches,2d22cea7
1245,Roméo Lavia,be BEL,MF,Southampton,eng Premier League,18-327,2004,6.2,1,4,2,50.0,0.65,0.32,0.25,0.50,23.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,ecad9aa5
1246,Lázaro,br BRA,MFFW,Almería,es La Liga,20-262,2002,2.3,1,2,1,50.0,0.87,0.44,0.50,1.00,14.6,0,0,0,0.2,0.2,0.11,+0.8,+0.8,Matches,86ff856b
1247,Valentino Lazaro,at AUT,DF,Torino,it Serie A,26-250,1996,10.1,0,6,2,33.3,0.60,0.20,0.00,0.00,14.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,016ff750
1248,Marko Lazetić,rs SRB,FW,Milan,it Serie A,18-311,2004,0.1,0,1,0,0.0,10.00,0.00,0.00,,13.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,93088fbb
1249,Darko Lazović,rs SRB,DFMF,Hellas Verona,it Serie A,32-075,1990,9.3,0,11,2,18.2,1.19,0.22,0.00,0.00,18.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,5128bde4
1250,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29-000,1993,11.0,0,1,0,0.0,0.09,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,02caf6e0
1251,Théo Le Bris,fr FRA,MFDF,Lorient,fr Ligue 1,20-059,2002,9.1,1,6,2,33.3,0.66,0.22,0.17,0.50,12.2,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches,afe39ca8
1252,Jérémy Le Douaron,fr FRA,FWMF,Brest,fr Ligue 1,24-222,1998,5.8,3,19,7,36.8,3.28,1.21,0.16,0.43,9.4,0,0,0,3.9,3.9,0.22,-0.9,-0.9,Matches,88c4d190
1253,Enzo Le Fée,fr FRA,MF,Lorient,fr Ligue 1,22-299,2000,14.8,2,20,11,55.0,1.35,0.74,0.10,0.18,24.3,4,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches,6f806d99
1254,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,33-045,1989,15.0,0,8,4,50.0,0.53,0.27,0.00,0.00,17.3,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,2321ea6e
